         3368320 function calls (3357377 primitive calls) in 86.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      248    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      248    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:1099(create)
    248/5    0.001    0.000    1.482    0.296 <frozen importlib._bootstrap>:1122(_exec)
       44    0.000    0.000    0.124    0.003 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
    292/5    0.006    0.000    1.483    0.297 <frozen importlib._bootstrap>:1186(_load_unlocked)
      295    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1243(find_spec)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1264(load_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1288(is_package)
      248    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:129(_new_module)
      278    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1313(find_spec)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
    248/5    0.003    0.000    1.482    0.296 <frozen importlib._bootstrap>:1442(exec_module)
       44    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__exit__)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
        8    0.000    0.000    0.222    0.028 <frozen importlib._bootstrap>:1503(source_to_code)
      248    0.008    0.000    0.417    0.002 <frozen importlib._bootstrap>:1511(get_code)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1568(__init__)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1593(get_filename)
      256    0.014    0.000    0.022    0.000 <frozen importlib._bootstrap>:1598(get_data)
      248    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:1608(path_stats)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1613(_cache_bytecode)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1618(set_data)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1674(__init__)
       27    0.001    0.000    0.119    0.004 <frozen importlib._bootstrap>:1685(load_module)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1703(is_package)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1706(<genexpr>)
      315    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:172(__init__)
       26    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1830(_path_hooks)
      590    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:1847(_path_importer_cache)
       65    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1864(_legacy_get_spec)
      278    0.006    0.000    0.133    0.000 <frozen importlib._bootstrap>:1879(_get_spec)
      278    0.001    0.000    0.134    0.000 <frozen importlib._bootstrap>:1911(find_spec)
      515    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:192(acquire)
       26    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1956(__init__)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1962(<genexpr>)
      275    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:1988(_get_spec)
      525    0.025    0.000    0.117    0.000 <frozen importlib._bootstrap>:1993(find_spec)
       26    0.001    0.000    0.029    0.001 <frozen importlib._bootstrap>:2038(_fill_cache)
       26    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2079(path_hook_for_FileFinder)
      851    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2097(__enter__)
      851    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2101(__exit__)
      295    0.008    0.000    0.149    0.001 <frozen importlib._bootstrap>:2124(_find_spec)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2164(_sanity_check)
      515    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:217(release)
    298/5    0.006    0.000    1.486    0.297 <frozen importlib._bootstrap>:2184(_find_and_load_unlocked)
    298/5    0.006    0.000    1.486    0.297 <frozen importlib._bootstrap>:2211(_find_and_load)
       42    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2217(_gcd_import)
3011/2301    0.016    0.000    0.441    0.000 <frozen importlib._bootstrap>:2241(_handle_fromlist)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2299(__import__)
      298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:257(__init__)
      298    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:261(__enter__)
      298    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:268(__exit__)
      515    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
      217    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
    355/5    0.001    0.000    1.478    0.296 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
      525    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:40(_w_long)
